Day,Cash On Hand
0,3500000
1,3487400
2,3218540
3,1790477
4,770982
5,283530
6,400469
7,140335
8,82460
9,503783
10,91236
11,468728
12,350485
13,2187351
14,36015
15,317146
16,1927339
17,427292
18,341624
19,2733685
20,94541
21,1874977
22,825978
23,1693827
24,731996
25,1444798
26,864707
27,94888
28,241440
29,467324
30,539269
31,6613
32,1794981
33,2519135
34,253183
35,3147398
36,4813969
37,4038224
38,6169502
39,10222301
40,8367990
41,6425956
42,6016284
43,6138042
44,4735514
45,6783227
46,7326819
47,9197158
48,11719001
49,12847817
50,16536468
51,16083969
52,17469712
53,16930801
54,17700359
55,17339622
56,16923164
57,19129819
58,19736092
59,18644614
60,18615106
61,18541432
62,18770541
63,20174820
64,20579794
65,20585484
66,20108799
67,20686774
68,21309291
69,20619026
70,20312771
71,19333036
72,18486114
73,18636250
74,17864212
75,17217535
76,18026386
77,17524089
78,18495188
79,20556978
80,21427877
81,21952540
82,22410080
83,19680475
84,19194296
85,19309992
86,19094585
87,18752395
88,16176627
89,18256867
90,20018458
